transaction_id,amount,merchant_avg_amount,amount_deviation_ratio,hour_of_day,is_night,velocity_last_hour,location_mismatch,device_change,customer_tenure_days,is_fraud
TXN_1030,64.06,120.87,0.53,3,1,3,0,1,281,0
TXN_1031,37.3,62.17,0.6,11,0,1,0,0,57,0
TXN_1032,591.24,68.43,8.64,18,0,1,1,0,21,1
TXN_1033,82.24,92.4,0.89,11,0,6,1,0,893,0
TXN_1034,346.58,55.81,6.21,5,1,1,1,0,1012,1
TXN_1035,93.84,78.86,1.19,20,0,3,0,0,496,0
TXN_1036,43.68,53.27,0.82,11,0,5,0,1,109,0
TXN_1037,53.25,64.94,0.82,10,0,3,1,1,31,0
TXN_1038,1151.87,133.01,8.66,4,1,3,0,0,346,0
TXN_1039,293.46,94.97,3.09,0,1,4,1,0,175,1
TXN_1040,195.13,132.74,1.47,7,0,3,0,0,40,0
TXN_1041,103.09,61.73,1.67,9,0,1,0,0,206,0
TXN_1042,726.83,121.34,5.99,3,1,4,0,0,11,1
TXN_1043,87.59,33.82,2.59,21,0,3,0,0,721,0
TXN_1044,151.5,92.38,1.64,20,0,3,0,0,90,0
TXN_1045,119.26,125.54,0.95,15,0,1,1,1,326,0
TXN_1046,42.02,33.09,1.27,10,0,1,0,0,113,0
TXN_1047,59.64,62.13,0.96,15,0,3,0,0,221,0
TXN_1048,171.75,92.34,1.86,9,0,1,0,0,238,0
TXN_1049,183.15,150.12,1.22,21,0,1,0,0,62,0
TXN_1050,80.53,64.94,1.24,7,0,3,0,0,1048,0
TXN_1051,148.57,118.86,1.25,21,0,3,0,1,448,0
TXN_1052,146.75,183.44,0.8,12,0,2,1,0,842,0
TXN_1053,438.23,121.73,3.6,15,0,1,0,0,676,0
TXN_1054,109.43,80.46,1.36,21,0,3,0,0,274,0
TXN_1055,115.07,109.59,1.05,15,0,1,0,0,765,0
TXN_1056,39.62,63.91,0.62,7,0,1,0,0,28,0
TXN_1057,199.96,94.32,2.12,6,0,3,0,1,66,0
TXN_1058,122.26,82.61,1.48,19,0,1,1,0,14,0
TXN_1059,109.86,107.71,1.02,10,0,1,0,0,119,0
TXN_1060,64.32,71.47,0.9,17,0,2,0,1,148,0
TXN_1061,119.79,110.92,1.08,18,0,1,0,0,95,1
TXN_1062,87.45,71.1,1.23,6,0,2,0,1,530,0
TXN_1063,61.91,140.71,0.44,22,1,2,0,0,133,0
TXN_1064,368.59,75.07,4.91,4,1,2,0,1,99,0
TXN_1065,18.93,25.93,0.73,6,0,3,0,0,235,0
TXN_1066,50.08,50.08,1.0,11,0,2,0,1,46,0
TXN_1067,454.55,90.91,5.0,14,0,3,0,0,487,0
TXN_1068,451.64,203.44,2.22,15,0,1,0,0,24,0
TXN_1069,732.25,137.9,5.31,2,1,4,0,0,1301,1
TXN_1070,43.87,23.21,1.89,16,0,1,1,1,444,0
TXN_1071,43.93,37.23,1.18,1,1,4,0,0,67,0
TXN_1072,108.89,160.13,0.68,6,0,1,0,0,2,0
TXN_1073,782.38,125.18,6.25,10,0,1,0,0,507,0
TXN_1074,247.73,260.77,0.95,4,1,4,0,0,369,0
TXN_1075,45.2,69.54,0.65,14,0,2,0,0,392,0
TXN_1076,63.45,55.17,1.15,19,0,2,1,0,443,0
TXN_1077,370.5,93.56,3.96,14,0,1,0,1,24,1
TXN_1078,86.01,68.81,1.25,22,1,1,0,0,134,0
TXN_1079,164.54,152.35,1.08,5,1,1,0,0,37,0
TXN_1080,52.0,67.53,0.77,5,1,1,0,1,597,0
TXN_1081,519.96,77.49,6.71,6,0,3,1,1,293,1
TXN_1082,39.77,50.99,0.78,20,0,1,0,1,121,0
TXN_1083,38.6,133.11,0.29,13,0,3,0,0,20,0
TXN_1084,55.43,52.79,1.05,22,1,1,1,0,112,0
TXN_1085,89.61,112.01,0.8,17,0,1,0,0,118,0
TXN_1086,259.35,221.67,1.17,2,1,2,1,1,393,1
TXN_1087,104.58,30.67,3.41,5,1,4,0,0,305,1
TXN_1088,422.89,187.95,2.25,21,0,1,0,0,655,0
TXN_1089,98.24,104.51,0.94,11,0,4,0,0,192,0
TXN_1090,292.86,46.56,6.29,22,1,2,0,0,39,0
TXN_1091,120.3,95.48,1.26,22,1,1,1,0,375,0
TXN_1092,112.73,131.08,0.86,14,0,2,1,0,430,0
TXN_1093,177.29,57.19,3.1,22,1,4,1,0,248,1
TXN_1094,88.85,115.39,0.77,5,1,1,0,0,443,0
TXN_1095,992.67,196.18,5.06,15,0,4,0,0,205,1
TXN_1096,48.59,67.48,0.72,15,0,1,1,0,222,0
TXN_1097,207.16,50.65,4.09,0,1,5,0,1,168,1
TXN_1098,737.43,83.99,8.78,6,0,1,0,0,8,0
TXN_1099,120.59,92.76,1.3,8,0,1,0,1,35,0
TXN_1100,93.88,156.47,0.6,1,1,1,0,0,10,0
TXN_1101,113.04,82.51,1.37,16,0,1,0,0,304,0
TXN_1102,48.18,70.86,0.68,18,0,3,1,0,114,0
TXN_1103,438.65,49.96,8.78,23,1,2,0,1,214,1
TXN_1104,50.18,33.23,1.51,7,0,1,0,0,715,0
TXN_1105,192.69,41.98,4.59,22,1,6,0,0,87,1
TXN_1106,27.62,41.85,0.66,5,1,1,0,0,159,1
TXN_1107,543.24,77.94,6.97,22,1,1,1,0,423,1
TXN_1108,26.01,36.64,0.71,17,0,3,0,0,78,0
TXN_1109,636.93,87.37,7.29,19,0,2,0,0,25,0
TXN_1110,243.17,219.07,1.11,9,0,1,0,0,103,0
TXN_1111,273.22,158.85,1.72,18,0,4,1,1,53,1
TXN_1112,78.32,77.54,1.01,6,0,3,0,0,797,0
TXN_1113,296.83,293.89,1.01,22,1,3,0,0,496,0
TXN_1114,124.54,92.94,1.34,1,1,1,0,0,302,0
TXN_1115,102.1,100.1,1.02,1,1,1,0,0,616,0
TXN_1116,380.74,83.13,4.58,1,1,5,0,0,489,1
TXN_1117,331.54,88.41,3.75,7,0,1,1,1,62,1
TXN_1118,58.27,66.22,0.88,8,0,2,1,0,670,0
TXN_1119,21.1,78.15,0.27,16,0,1,1,0,233,0
TXN_1120,135.81,188.62,0.72,22,1,3,0,1,495,0
TXN_1121,271.98,167.89,1.62,7,0,1,0,1,680,1
TXN_1122,158.44,25.35,6.25,9,0,5,0,0,115,0
TXN_1123,33.9,38.96,0.87,22,1,3,0,0,35,0
TXN_1124,91.62,57.62,1.59,7,0,1,1,0,78,0
TXN_1125,139.34,145.15,0.96,10,0,3,1,0,168,0
TXN_1126,73.04,169.86,0.43,3,1,3,0,0,512,0
TXN_1127,71.95,130.82,0.55,15,0,1,0,0,592,0
TXN_1128,54.82,46.46,1.18,20,0,3,1,0,3,0
TXN_1129,64.95,66.96,0.97,6,0,1,1,0,215,0
TXN_1130,208.45,116.45,1.79,21,0,1,0,0,163,0
TXN_1131,59.09,78.79,0.75,16,0,3,0,0,76,0
TXN_1132,533.7,73.01,7.31,4,1,1,1,0,39,1
TXN_1133,51.51,73.59,0.7,9,0,2,0,0,124,1
TXN_1134,130.65,161.3,0.81,11,0,2,0,1,859,0
TXN_1135,331.34,122.72,2.7,13,0,1,0,1,118,0
TXN_1136,604.64,75.77,7.98,2,1,6,0,0,220,1
TXN_1137,104.92,107.06,0.98,21,0,2,1,0,365,0
TXN_1138,40.88,43.03,0.95,11,0,2,0,1,136,0
TXN_1139,158.19,67.03,2.36,21,0,2,0,0,1071,0
TXN_1140,1332.67,153.18,8.7,19,0,3,0,0,985,0
TXN_1141,26.2,35.41,0.74,7,0,3,0,0,88,0
TXN_1142,54.34,123.51,0.44,6,0,2,0,0,207,0
TXN_1143,24.2,25.21,0.96,13,0,1,0,0,108,0
TXN_1144,238.04,205.21,1.16,13,0,2,0,0,101,0
TXN_1145,46.97,66.16,0.71,14,0,2,0,0,12,0
TXN_1146,369.15,111.19,3.32,11,0,4,1,0,283,1
TXN_1147,179.97,95.73,1.88,17,0,1,0,1,210,0
TXN_1148,87.83,97.59,0.9,6,0,3,0,0,16,0
TXN_1149,137.86,106.05,1.3,19,0,6,1,0,98,0
TXN_1150,22.12,32.06,0.69,14,0,3,0,1,717,0
TXN_1151,96.7,98.67,0.98,1,1,3,0,1,83,0
TXN_1152,317.96,81.32,3.91,18,0,3,0,0,47,0
TXN_1153,50.43,66.36,0.76,4,1,1,0,0,202,0
TXN_1154,91.6,57.61,1.59,3,1,2,1,1,1274,1
TXN_1155,56.99,99.98,0.57,8,0,4,0,0,84,0
TXN_1156,57.63,51.0,1.13,16,0,1,0,0,335,0
TXN_1157,132.02,151.75,0.87,11,0,2,0,0,431,0
TXN_1158,136.24,115.46,1.18,15,0,1,0,1,82,0
TXN_1159,303.44,103.21,2.94,18,0,2,1,0,391,0
TXN_1160,209.3,148.44,1.41,15,0,1,0,0,138,0
TXN_1161,20.33,29.46,0.69,20,0,3,0,0,301,0
TXN_1162,67.19,42.26,1.59,0,1,2,0,0,302,0
TXN_1163,116.95,118.13,0.99,17,0,2,0,0,231,0
TXN_1164,480.36,59.45,8.08,3,1,3,0,0,29,1
TXN_1165,83.36,63.63,1.31,4,1,2,1,1,542,1
TXN_1166,35.86,38.98,0.92,21,0,5,0,0,117,0
TXN_1167,26.05,51.08,0.51,21,0,2,1,0,62,1
TXN_1168,695.45,153.52,4.53,22,1,3,0,0,13,1
TXN_1169,175.02,116.68,1.5,16,0,1,0,0,269,0
TXN_1170,166.0,99.4,1.67,18,0,4,0,1,340,0
TXN_1171,55.88,64.98,0.86,8,0,7,0,0,6,0
TXN_1172,101.9,96.13,1.06,10,0,1,0,0,216,1
TXN_1173,163.75,160.54,1.02,18,0,4,0,0,78,0
TXN_1174,109.07,60.26,1.81,19,0,2,1,1,311,0
TXN_1175,63.58,88.3,0.72,10,0,1,0,0,58,0
TXN_1176,175.87,211.89,0.83,15,0,4,1,0,353,0
TXN_1177,93.54,129.92,0.72,21,0,2,0,0,147,0
TXN_1178,36.67,65.49,0.56,12,0,2,1,0,829,0
TXN_1179,136.94,124.49,1.1,9,0,1,0,0,45,0
TXN_1180,66.69,35.1,1.9,16,0,1,0,0,126,0
TXN_1181,79.5,86.41,0.92,9,0,1,0,0,37,0
TXN_1182,87.09,124.42,0.7,12,0,1,0,0,776,0
TXN_1183,118.92,110.11,1.08,14,0,1,1,0,630,0
TXN_1184,157.23,123.8,1.27,4,1,3,0,0,90,0
TXN_1185,892.77,138.2,6.46,16,0,5,1,1,324,1
TXN_1186,200.67,114.67,1.75,21,0,2,0,0,510,0
TXN_1187,81.32,112.95,0.72,9,0,1,0,0,244,0
TXN_1188,89.54,100.61,0.89,1,1,2,0,0,227,0
TXN_1189,54.09,47.87,1.13,11,0,1,0,0,84,0
TXN_1190,658.43,153.48,4.29,11,0,3,1,1,30,1
TXN_1191,89.84,88.08,1.02,4,1,2,0,0,683,0
TXN_1192,76.95,128.25,0.6,20,0,2,0,0,693,0
TXN_1193,370.59,145.33,2.55,6,0,1,0,0,301,0
TXN_1194,61.23,67.29,0.91,18,0,3,0,0,125,0
TXN_1195,437.41,70.55,6.2,0,1,2,1,1,129,0
TXN_1196,97.01,75.79,1.28,3,1,1,0,0,389,0
TXN_1197,989.92,168.64,5.87,8,0,6,1,1,683,1
TXN_1198,54.76,53.69,1.02,22,1,2,0,1,655,0
TXN_1199,139.76,183.89,0.76,11,0,1,0,0,455,0
TXN_1200,118.02,100.02,1.18,11,0,1,0,0,309,0
TXN_1201,93.43,103.81,0.9,10,0,1,0,1,27,0
TXN_1202,157.6,141.98,1.11,0,1,1,0,0,53,0
TXN_1203,62.11,94.1,0.66,5,1,1,0,0,687,0
TXN_1204,111.15,154.37,0.72,8,0,2,0,0,280,0
TXN_1205,39.0,67.24,0.58,16,0,2,0,1,3,0
TXN_1206,135.61,180.81,0.75,10,0,3,0,0,33,0
TXN_1207,25.24,70.1,0.36,3,1,1,0,0,327,0
TXN_1208,162.28,184.41,0.88,6,0,1,0,0,2,0
TXN_1209,57.62,71.13,0.81,8,0,2,1,0,53,0
TXN_1210,546.49,76.97,7.1,1,1,1,0,0,239,0
TXN_1211,160.14,50.2,3.19,21,0,3,0,1,354,0
TXN_1212,95.65,57.97,1.65,21,0,1,1,0,317,1
TXN_1213,249.03,88.31,2.82,2,1,1,1,0,77,0
TXN_1214,161.21,102.03,1.58,15,0,1,0,0,374,0
TXN_1215,123.3,148.56,0.83,14,0,2,0,0,82,0
TXN_1216,65.58,79.97,0.82,1,1,2,0,0,119,0
TXN_1217,66.23,46.64,1.42,8,0,3,0,0,412,0
TXN_1218,56.22,110.23,0.51,23,1,2,0,0,315,0
TXN_1219,86.62,98.43,0.88,6,0,2,0,1,568,0
TXN_1220,106.13,116.63,0.91,2,1,1,0,0,322,0
TXN_1221,372.14,62.65,5.94,15,0,2,0,0,253,0
TXN_1222,181.42,66.7,2.72,11,0,3,0,0,30,0
TXN_1223,46.37,62.66,0.74,12,0,4,1,0,138,0
TXN_1224,139.0,163.53,0.85,23,1,2,0,0,93,0
TXN_1225,216.25,181.72,1.19,20,0,3,1,0,84,0
TXN_1226,47.57,65.17,0.73,5,1,5,0,0,1084,0
TXN_1227,106.73,65.88,1.62,17,0,2,1,0,150,0
TXN_1228,160.24,125.19,1.28,6,0,3,0,0,668,0
TXN_1229,205.74,192.28,1.07,1,1,1,0,0,300,0
TXN_1230,250.58,214.17,1.17,1,1,2,0,1,476,0
TXN_1231,52.77,63.58,0.83,16,0,1,0,1,210,0
TXN_1232,230.45,72.47,3.18,2,1,5,1,0,259,0
TXN_1233,88.07,104.84,0.84,7,0,1,0,0,204,0
TXN_1234,131.19,107.53,1.22,6,0,3,0,0,66,0
TXN_1235,88.17,81.64,1.08,5,1,2,0,1,385,0
TXN_1236,47.81,56.92,0.84,11,0,3,0,0,99,0
TXN_1237,119.33,88.39,1.35,10,0,3,0,1,8,0
TXN_1238,199.07,214.05,0.93,18,0,1,0,0,312,0
TXN_1239,51.09,67.23,0.76,14,0,3,0,0,59,0
TXN_1240,112.63,101.47,1.11,18,0,1,0,0,847,0
TXN_1241,193.38,288.63,0.67,0,1,4,0,0,924,0
TXN_1242,34.02,66.71,0.51,18,0,4,0,0,740,0
TXN_1243,128.27,128.27,1.0,21,0,1,0,0,139,0
TXN_1244,168.52,218.86,0.77,21,0,1,0,1,5,0
TXN_1245,110.3,122.56,0.9,16,0,1,0,0,791,0
TXN_1246,107.12,157.53,0.68,7,0,2,0,0,168,0
TXN_1247,575.29,137.3,4.19,23,1,1,1,0,1021,1
TXN_1248,587.55,117.51,5.0,17,0,1,0,1,995,0
TXN_1249,150.03,178.61,0.84,13,0,4,0,0,576,0
TXN_1250,146.36,126.17,1.16,0,1,2,0,0,105,0
TXN_1251,47.61,82.09,0.58,19,0,1,1,0,146,0
TXN_1252,54.54,97.4,0.56,23,1,5,1,0,572,1
TXN_1253,126.96,109.45,1.16,2,1,6,0,1,115,1
TXN_1254,60.68,72.24,0.84,22,1,3,0,0,56,0
TXN_1255,69.81,99.73,0.7,22,1,1,0,0,245,0
TXN_1256,117.22,92.3,1.27,12,0,3,0,0,826,1
TXN_1257,90.7,125.97,0.72,5,1,3,0,0,358,0
TXN_1258,224.69,249.66,0.9,0,1,2,0,0,254,0
TXN_1259,71.99,102.85,0.7,3,1,1,0,1,31,0
TXN_1260,220.16,194.83,1.13,9,0,1,0,0,287,0
TXN_1261,210.17,123.63,1.7,18,0,2,0,0,1384,0
TXN_1262,47.76,99.49,0.48,8,0,1,0,0,46,0
TXN_1263,73.56,70.06,1.05,12,0,3,0,0,220,0
TXN_1264,140.84,99.89,1.41,14,0,2,1,0,630,0
TXN_1265,81.22,96.69,0.84,8,0,1,0,0,406,0
TXN_1266,38.64,60.37,0.64,2,1,3,0,0,359,0
TXN_1267,77.43,65.62,1.18,11,0,1,0,0,364,0
TXN_1268,163.81,109.94,1.49,5,1,2,0,0,134,0
TXN_1269,277.15,193.81,1.43,11,0,2,0,1,105,1
TXN_1270,100.71,86.82,1.16,7,0,4,1,1,498,1
TXN_1271,39.48,37.96,1.04,18,0,1,0,1,499,0
TXN_1272,16.38,23.4,0.7,12,0,6,0,0,606,0
TXN_1273,70.03,49.67,1.41,7,0,4,0,0,734,0
TXN_1274,179.34,129.96,1.38,23,1,1,0,0,215,0
TXN_1275,356.08,42.24,8.43,23,1,1,1,0,209,1
TXN_1276,753.33,140.81,5.35,16,0,1,0,0,481,0
TXN_1277,164.15,126.27,1.3,20,0,1,0,0,315,0
TXN_1278,413.41,85.24,4.85,22,1,3,0,1,364,1
TXN_1279,58.85,60.67,0.97,19,0,1,0,0,477,0
TXN_1280,55.91,78.75,0.71,21,0,4,0,1,663,0
TXN_1281,88.99,108.52,0.82,16,0,1,0,0,124,0
TXN_1282,123.04,43.02,2.86,6,0,1,0,1,142,0
TXN_1283,179.95,183.62,0.98,19,0,1,1,0,30,0
TXN_1284,98.27,107.99,0.91,5,1,1,0,0,260,1
TXN_1285,270.29,114.53,2.36,12,0,2,0,0,11,1
TXN_1286,179.89,125.8,1.43,5,1,2,1,1,188,1
TXN_1287,256.34,174.38,1.47,20,0,3,1,0,235,0
TXN_1288,591.12,100.02,5.91,2,1,2,0,1,102,1
TXN_1289,111.8,130.0,0.86,21,0,1,0,0,269,0
TXN_1290,55.11,61.23,0.9,19,0,2,0,0,10,0
TXN_1291,199.62,214.64,0.93,19,0,3,0,0,12,0
TXN_1292,104.16,96.44,1.08,20,0,2,0,0,519,1
TXN_1293,293.7,61.06,4.81,19,0,3,0,0,134,0
TXN_1294,486.29,70.07,6.94,17,0,7,1,0,41,1
TXN_1295,25.41,28.55,0.89,10,0,2,0,0,222,0
TXN_1296,55.16,69.82,0.79,0,1,1,0,0,441,0
TXN_1297,11.58,20.32,0.57,21,0,1,1,0,73,0
TXN_1298,225.45,135.0,1.67,8,0,1,0,1,293,0
TXN_1299,272.76,112.71,2.42,22,1,4,0,0,27,1
TXN_1300,83.2,51.36,1.62,0,1,3,0,0,16,0
TXN_1301,52.61,87.69,0.6,15,0,4,0,1,228,0
TXN_1302,573.05,89.82,6.38,3,1,1,0,0,234,0
TXN_1303,68.87,45.61,1.51,16,0,2,0,0,305,0
TXN_1304,67.71,79.66,0.85,6,0,1,0,1,389,0
TXN_1305,494.95,91.32,5.42,14,0,5,0,0,1118,0
TXN_1306,65.15,78.49,0.83,23,1,1,0,0,218,0
TXN_1307,112.28,61.02,1.84,6,0,1,0,0,118,0
TXN_1308,58.32,50.28,1.16,20,0,1,0,0,476,0
TXN_1309,53.13,77.0,0.69,17,0,1,0,0,95,0
TXN_1310,85.35,65.15,1.31,12,0,1,0,1,174,0
TXN_1311,185.83,121.46,1.53,11,0,3,0,0,25,0
TXN_1312,1431.0,180.0,7.95,11,0,4,0,0,8,1
TXN_1313,1183.92,144.38,8.2,19,0,6,0,1,987,1
TXN_1314,90.17,92.96,0.97,10,0,2,0,0,543,0
TXN_1315,39.88,62.31,0.64,16,0,5,0,0,358,0
TXN_1316,133.82,142.36,0.94,9,0,4,0,0,158,0
TXN_1317,154.16,125.33,1.23,0,1,7,0,0,58,0
TXN_1318,164.78,173.45,0.95,1,1,3,1,0,52,0
TXN_1319,138.11,100.08,1.38,8,0,1,0,0,87,0
TXN_1320,177.43,208.74,0.85,15,0,1,0,0,240,0
TXN_1321,88.08,100.09,0.88,13,0,2,0,0,377,0
TXN_1322,86.37,62.14,1.39,12,0,1,0,1,324,0
TXN_1323,74.73,68.56,1.09,22,1,3,0,0,99,0
TXN_1324,560.22,118.44,4.73,6,0,4,0,0,930,0
TXN_1325,98.24,65.06,1.51,4,1,3,0,0,402,0
TXN_1326,642.66,207.98,3.09,23,1,3,0,0,243,0
TXN_1327,85.0,113.34,0.75,9,0,1,0,0,284,0
TXN_1328,29.4,91.88,0.32,12,0,1,0,0,164,0
TXN_1329,76.82,96.03,0.8,18,0,1,0,0,86,0
TXN_1330,131.89,78.04,1.69,17,0,3,0,0,133,0
TXN_1331,14.49,32.94,0.44,6,0,3,0,0,426,0
TXN_1332,46.64,68.59,0.68,2,1,3,1,1,5,0
TXN_1333,231.5,194.54,1.19,0,1,3,0,0,38,1
TXN_1334,41.62,101.51,0.41,10,0,3,0,0,15,0
TXN_1335,125.49,153.04,0.82,9,0,3,1,0,13,0
TXN_1336,245.42,155.33,1.58,7,0,1,0,0,581,0
TXN_1337,199.17,88.13,2.26,16,0,5,0,0,365,0
TXN_1338,141.57,126.4,1.12,9,0,1,1,0,193,0
TXN_1339,161.52,34.96,4.62,8,0,3,0,0,31,0
TXN_1340,126.7,186.33,0.68,18,0,1,0,1,203,0
TXN_1341,189.16,178.45,1.06,22,1,2,0,0,193,0
TXN_1342,130.74,116.73,1.12,1,1,2,0,0,58,0
TXN_1343,217.27,103.46,2.1,21,0,1,0,0,171,0
TXN_1344,130.46,88.75,1.47,15,0,1,0,0,153,0
TXN_1345,167.17,162.3,1.03,5,1,2,0,0,288,0
TXN_1346,116.64,134.07,0.87,5,1,1,0,1,303,0
TXN_1347,53.01,15.87,3.34,20,0,1,0,0,14,0
TXN_1348,94.12,73.53,1.28,10,0,3,0,0,141,0
TXN_1349,35.98,46.73,0.77,9,0,3,0,0,295,0
TXN_1350,200.51,41.86,4.79,15,0,1,0,0,210,1
TXN_1351,112.99,161.41,0.7,17,0,2,0,1,583,0
TXN_1352,33.33,87.72,0.38,10,0,1,0,0,323,0
TXN_1353,130.76,115.72,1.13,1,1,1,0,0,54,0
TXN_1354,191.39,93.82,2.04,8,0,1,0,0,22,0
TXN_1355,21.93,42.17,0.52,10,0,3,0,1,309,0
TXN_1356,36.12,35.41,1.02,9,0,1,1,0,9,0
TXN_1357,53.11,70.81,0.75,20,0,2,0,0,265,0
TXN_1358,91.16,74.11,1.23,22,1,1,1,1,846,1
TXN_1359,68.89,74.08,0.93,17,0,4,0,1,258,0
TXN_1360,43.65,75.26,0.58,0,1,3,0,0,148,0
TXN_1361,163.85,240.96,0.68,23,1,2,0,0,310,0
TXN_1362,1150.87,151.83,7.58,4,1,1,0,0,184,0
TXN_1363,174.9,102.28,1.71,15,0,2,0,1,237,0
TXN_1364,145.39,86.54,1.68,13,0,1,0,0,852,0
TXN_1365,77.61,88.19,0.88,12,0,1,0,0,147,0
TXN_1366,968.06,131.53,7.36,23,1,2,0,0,975,0
TXN_1367,80.08,86.11,0.93,6,0,1,0,0,708,1
TXN_1368,126.55,143.81,0.88,8,0,1,0,0,66,0
TXN_1369,110.36,108.2,1.02,21,0,1,0,0,22,0
TXN_1370,1099.22,242.12,4.54,2,1,1,0,0,32,0
TXN_1371,66.68,83.35,0.8,15,0,3,0,0,6,0
TXN_1372,159.07,157.5,1.01,20,0,3,0,0,30,0
TXN_1373,67.27,49.1,1.37,16,0,2,0,0,345,0
TXN_1374,66.33,63.17,1.05,17,0,2,0,1,23,0
TXN_1375,229.67,225.17,1.02,6,0,3,0,0,116,1
TXN_1376,171.58,140.64,1.22,8,0,4,0,1,560,0
TXN_1377,470.78,116.82,4.03,8,0,4,0,1,8,0
TXN_1378,269.45,274.95,0.98,10,0,1,0,0,506,0
TXN_1379,72.38,87.21,0.83,0,1,3,0,0,100,0
TXN_1380,610.32,157.3,3.88,18,0,2,1,0,38,1
TXN_1381,562.03,163.38,3.44,22,1,3,1,0,358,1
TXN_1382,183.7,199.67,0.92,22,1,2,0,0,298,0
TXN_1383,17.01,45.96,0.37,9,0,1,0,0,630,0
TXN_1384,732.57,86.9,8.43,18,0,3,0,0,399,0
TXN_1385,51.46,107.21,0.48,18,0,1,0,0,489,0
TXN_1386,1326.33,197.96,6.7,15,0,3,0,0,100,0
TXN_1387,458.5,114.34,4.01,15,0,1,0,0,59,0
TXN_1388,575.77,163.57,3.52,9,0,1,0,0,417,0
TXN_1389,53.28,43.67,1.22,6,0,1,0,0,494,0
TXN_1390,113.67,76.29,1.49,19,0,1,0,0,1398,0
TXN_1391,1319.65,178.09,7.41,7,0,3,0,0,160,0
TXN_1392,76.09,81.82,0.93,16,0,1,0,0,140,1
TXN_1393,99.85,90.77,1.1,6,0,1,1,0,450,0
TXN_1394,280.71,196.3,1.43,11,0,3,0,0,126,0
TXN_1395,45.87,55.27,0.83,21,0,3,0,0,802,0
TXN_1396,63.23,62.6,1.01,0,1,1,0,0,587,1
TXN_1397,37.0,41.11,0.9,12,0,1,0,0,169,0
TXN_1398,104.22,200.42,0.52,10,0,3,1,0,417,0
TXN_1399,216.53,150.37,1.44,14,0,3,0,0,422,0
TXN_1400,338.31,148.38,2.28,4,1,1,0,0,33,0
TXN_1401,53.34,75.12,0.71,1,1,3,0,0,699,0
TXN_1402,57.93,39.41,1.47,10,0,2,1,0,212,0
TXN_1403,23.74,33.43,0.71,10,0,2,0,0,526,0
TXN_1404,187.72,178.78,1.05,16,0,1,0,1,116,0
TXN_1405,221.3,120.93,1.83,20,0,2,0,0,678,0
TXN_1406,107.92,133.24,0.81,10,0,2,0,0,148,0
TXN_1407,103.53,104.58,0.99,15,0,2,0,0,4,0
TXN_1408,28.65,58.46,0.49,22,1,4,0,0,708,0
TXN_1409,59.31,77.02,0.77,15,0,1,0,0,29,0
TXN_1410,23.82,50.68,0.47,0,1,1,0,1,116,1
TXN_1411,56.17,47.2,1.19,11,0,2,1,0,900,0
TXN_1412,200.09,143.95,1.39,13,0,6,1,1,903,0
TXN_1413,32.28,35.09,0.92,16,0,1,0,0,256,0
TXN_1414,56.99,50.88,1.12,14,0,2,0,0,300,0
TXN_1415,69.95,79.49,0.88,18,0,2,1,0,179,0
TXN_1416,127.66,95.27,1.34,20,0,1,0,0,105,0
TXN_1417,42.87,40.83,1.05,4,1,4,0,0,120,0
TXN_1418,15.57,34.59,0.45,17,0,3,0,0,335,0
